"ID","CN","CAPT","SRC","OUTERID","SCORE"
"3c34811b-914d-44f7-bd41-9c7e6640ee64","Philippines","Manila","GN","252db764-7079-4b08-97eb-db2736a9c6b5","9.815064"
"97a05d15-f457-4035-818a-3e8a4ac34564","Pakistan","Islamabad","GN","b87a714f-ace8-44c5-bbf6-8a49ae27cdef","9.850367"
"03829e24-efa2-4706-a753-f0c4b99edacd","Poland","Warsaw","GN","a1a41fab-4905-479b-9303-d81591ea6152","9.850367"
"2cafceef-6043-4dd7-9e33-480a39776dff","Saint Pierre and Miquelon","Saint-Pierre","GN","7407b6eb-cb72-4c8e-a41c-6f4ead3b1fe6","4.8005366"
"29ca0121-993d-4ee9-8e7a-e0befe845baf","Pitcairn Islands","Adamstown","GN",,
"dd30faa4-2981-4080-95bc-24e9901fd34e","Puerto Rico","San Juan","GN",,
"c20949a3-ddbc-448b-97aa-695dd876a142","Palestine","East Jerusalem","GN",,
"a33e7db3-adae-4191-8df9-2d2bed497b1b","Portugal","Lisbon","GN","9f0fe989-cfc8-41a0-b834-9fa254227667","9.815064"
"e158d535-1830-4e1f-a822-3b63cc9676ee","Palau","Melekeok","GN",,
"381fc13c-5498-4d13-a470-b88c55ae2ab9","Paraguay","Asuncion","GN","0acbbe96-6b72-4150-998a-c667bd595cb9","9.742651"
"0fbd6908-4318-46ce-9db9-7fe0b231f21c","Qatar","Doha","GN","5b00aaea-5fe1-45ff-a1f7-0a3882fd8b18","9.742651"
"c94c8735-5947-42e1-8b36-c82c09aeea83","R̩union","Saint-Denis","GN",,
"262e29a1-3249-4ade-83ea-35a1f8fb8911","Romania","Bucharest","GN","36639c99-958e-4229-8b31-dc8a6bbc4b19","9.815064"
"0680591c-5ae6-47da-aaa3-0a4c4280245a","Serbia","Belgrade","GN","5c06c6db-debb-4adf-870e-f964f75f4b20","8.662884"
"b4e72a81-7cc4-4914-8b6b-220bbc28ba90","Russia","Moscow","GN","a9e0f141-811a-48bd-8f55-7f948871edac","7.5217957"
"9acb161c-30d4-4273-81ea-fa0ded5887b6","Rwanda","Kigali","GN","f5c0ee5d-badf-4bd6-80fc-1a980b67a4ae","9.742651"
"b4191d93-b8f6-4eef-ad9a-77ba52d8ee5c","Saudi Arabia","Riyadh","GN","c679f866-fd07-4c01-80e3-a3ffdb249c47","12.172581"
